Id,SalePrice
1461,125839.266
1462,164861.25
1463,185955.67
1464,188999.88
1465,203060.92
1466,175415.55
1467,169891.9
1468,172045.39
1469,173740.16
1470,120990.234
1471,200123.45
1472,93878.91
1473,102044.36
1474,153958.05
1475,123061.37
1476,418212.38
1477,255184.22
1478,316040.72
1479,234603.58
1480,485281.53
1481,330142.16
1482,202494.55
1483,170916.47
1484,169457.2
1485,173995.03
1486,202181.58
1487,347387.56
1488,226914.39
1489,217386.27
1490,214739.44
1491,179403.33
1492,87730.99
1493,189672.03
1494,294759.47
1495,271235.2
1496,255362.14
1497,189300.3
1498,160404.7
1499,155710.9
1500,153230.1
1501,176287.64
1502,150921.39
1503,289730.5
1504,234300.94
1505,216950.44
1506,187803.64
1507,237756.55
1508,206828.77
1509,166981.89
1510,144990.66
1511,144735.92
1512,170951.53
1513,151261.17
1514,174515.52
1515,184793.55
1516,158516.08
1517,146470.84
1518,121910.484
1519,219877.98
1520,136202.5
1521,139697.95
1522,166663.73
1523,114934.26
1524,122405.414
1525,128586.27
1526,128627.57
1527,101537.71
1528,128454.96
1529,147361.8
1530,167110.75
1531,125226.22
1532,101135.16
1533,143098.25
1534,119422.195
1535,153997.55
1536,120484.37
1537,78104.234
1538,187669.67
1539,221608.48
1540,106533.16
1541,152831.36
1542,142474.36
1543,223159.55
1544,79546.05
1545,112958.586
1546,123313.17
1547,142372.84
1548,139186.12
1549,118383.37
1550,146390.66
1551,114584.164
1552,140434.52
1553,142900.56
1554,113365.35
1555,167015.42
1556,95803.86
1557,118752.87
1558,88425.664
1559,83747.74
1560,134396.5
1561,142697.52
1562,125004.87
1563,120616.164
1564,152917.25
1565,149151.83
1566,211629.97
1567,69545.67
1568,242237.94
1569,135231.56
1570,128302.62
1571,133263.44
1572,147807.88
1573,243058.05
1574,108011.1
1575,214732.94
1576,240489.4
1577,206961.81
1578,150447.38
1579,142559.33
1580,188271.34
1581,146092.34
1582,128112.83
1583,332767.8
1584,232247.22
1585,139769.89
1586,64916.836
1587,99598.43
1588,162676.39
1589,104659.33
1590,130629.21
1591,97913.984
1592,123017.664
1593,122793.36
1594,131742.45
1595,113844.5
1596,244912.1
1597,177775.28
1598,194042.03
1599,204257.61
1600,192380.25
1601,66523.67
1602,107653.15
1603,81721.71
1604,271838.44
1605,236297.88
1606,170094.14
1607,155034.42
1608,207724.05
1609,198253.88
1610,168447.45
1611,136272.56
1612,157906.33
1613,149064.27
1614,119715.32
1615,88612.2
1616,70808.16
1617,86746.3
1618,128089.48
1619,134434.95
1620,151010.31
1621,132819.86
1622,146013.19
1623,309700.88
1624,227548.45
1625,125007.44
1626,159403.2
1627,188742.38
1628,263978.06
1629,179443.69
1630,377018.7
1631,223812.06
1632,257811.47
1633,174319.69
1634,182747.42
1635,174635.58
1636,156042.23
1637,181723.66
1638,213454.36
1639,174820.72
1640,252835.86
1641,181581.38
1642,222782.81
1643,223465.03
1644,229632.27
1645,186877.92
1646,158494.62
1647,151444.19
1648,126059.14
1649,141201.3
1650,124233.15
1651,115531.71
