,id,sales
0,3000888,158.51111
1,3000889,157.27567
2,3000890,140.51947
3,3000891,2496.0747
4,3000892,156.64813
5,3000893,602.4714
6,3000894,158.51111
7,3000895,989.99915
8,3000896,1094.3867
9,3000897,327.2281
10,3000898,292.18375
11,3000899,258.6164
12,3000900,3183.6296
13,3000901,165.59627
14,3000902,159.1314
15,3000903,136.61125
16,3000904,120.75363
17,3000905,158.86899
18,3000906,382.14172
19,3000907,158.51111
20,3000908,312.6885
21,3000909,222.61838
22,3000910,268.4266
23,3000911,158.51111
24,3000912,522.86804
25,3000913,357.5426
26,3000914,157.8881
27,3000915,158.51111
28,3000916,507.96582
29,3000917,259.66257
30,3000918,4211.67
31,3000919,254.49718
32,3000920,158.51111
33,3000921,141.6754
34,3000922,144.21648
35,3000923,103.8989
36,3000924,1245.8616
37,3000925,143.58894
38,3000926,244.63864
39,3000927,141.6754
40,3000928,856.95435
41,3000929,356.53397
42,3000930,318.26743
43,3000931,206.14673
44,3000932,139.39012
45,3000933,2618.9722
46,3000934,148.76057
47,3000935,142.2957
48,3000936,81.61308
49,3000937,152.50235
50,3000938,142.0333
51,3000939,219.49734
52,3000940,141.6754
53,3000941,128.16232
54,3000942,167.62022
55,3000943,83.900406
56,3000944,141.6754
57,3000945,373.9057
58,3000946,225.79959
59,3000947,141.0524
60,3000948,141.6754
61,3000949,382.1958
62,3000950,210.61765
63,3000951,2945.6526
64,3000952,88.13462
65,3000953,141.6754
66,3000954,192.07414
67,3000955,190.8387
68,3000956,234.55103
69,3000957,4014.6626
70,3000958,190.21117
71,3000959,731.6853
72,3000960,192.07414
73,3000961,1987.5819
74,3000962,1017.5088
75,3000963,537.8324
76,3000964,321.18213
77,3000965,286.97406
78,3000966,6948.56
79,3000967,199.1593
80,3000968,192.69443
81,3000969,214.27455
82,3000970,214.78525
83,3000971,192.43202
84,3000972,526.39075
85,3000973,192.07414
86,3000974,406.72003
87,3000975,333.8462
88,3000976,362.45813
89,3000977,192.07414
90,3000978,704.07434
91,3000979,525.034
92,3000980,191.45114
93,3000981,251.99376
94,3000982,592.3722
95,3000983,230.71306
96,3000984,2529.9277
97,3000985,348.5287
98,3000986,192.07414
99,3000987,159.01001
100,3000988,157.77458
101,3000989,166.25362
102,3000990,1748.0284
103,3000991,157.14705
104,3000992,354.7284
105,3000993,159.01001
106,3000994,1030.6415
107,3000995,515.9071
108,3000996,332.1227
109,3000997,235.81287
110,3000998,191.87988
111,3000999,3024.8345
112,3001000,166.09518
113,3001001,159.63031
114,3001002,179.35774
115,3001003,112.92633
116,3001004,159.3679
117,3001005,293.76093
118,3001006,159.01001
119,3001007,228.1301
120,3001008,214.79106
121,3001009,161.2386
122,3001010,159.01001
123,3001011,296.45596
124,3001012,308.23297
125,3001013,158.38701
126,3001014,159.01001
127,3001015,282.4717
128,3001016,201.14536
129,3001017,3149.0571
130,3001018,165.47282
131,3001019,159.01001
132,3001020,159.01001
133,3001021,157.77458
134,3001022,166.25362
135,3001023,1748.0284
136,3001024,157.14705
137,3001025,354.7284
138,3001026,159.01001
139,3001027,1030.6415
140,3001028,482.90952
141,3001029,332.1227
142,3001030,235.81287
143,3001031,191.87988
144,3001032,3024.8345
145,3001033,166.09518
146,3001034,159.63031
147,3001035,179.35774
148,3001036,112.92633
149,3001037,159.3679
150,3001038,293.76093
151,3001039,159.01001
152,3001040,228.1301
153,3001041,231.98734
154,3001042,161.2386
155,3001043,159.01001
156,3001044,296.45596
157,3001045,342.55774
158,3001046,158.38701
159,3001047,159.01001
160,3001048,281.45502
161,3001049,201.14536
162,3001050,3149.0571
163,3001051,165.47282
164,3001052,159.01001
165,3001053,165.69124
166,3001054,164.4558
167,3001055,172.93484
168,3001056,1775.5533
169,3001057,163.82826
170,3001058,361.23505
171,3001059,165.69124
172,3001060,1111.0143
173,3001061,763.0033
174,3001062,327.44495
175,3001063,232.76927
176,3001064,198.5611
177,3001065,3045.1255
178,3001066,172.7764
179,3001067,166.31152
180,3001068,186.03897
181,3001069,119.60755
182,3001070,166.04912
183,3001071,300.44214
184,3001072,165.69124
185,3001073,234.81133
186,3001074,238.66855
187,3001075,167.91982
188,3001076,165.69124
189,3001077,355.25497
190,3001078,384.30084
191,3001079,165.06824
192,3001080,165.69124
193,3001081,288.13623
194,3001082,215.92584
195,3001083,3489.4463
196,3001084,172.15404
197,3001085,165.69124
198,3001086,167.15598
199,3001087,165.92053
200,3001088,174.39957
201,3001089,1752.9543
202,3001090,165.293
203,3001091,362.87436
204,3001092,167.15598
205,3001093,1012.75574
206,3001094,524.0531
207,3001095,362.9121
208,3001096,236.69778
209,3001097,200.02583
210,3001098,3063.388
211,3001099,174.24113
212,3001100,167.77628
213,3001101,187.50371
214,3001102,121.07229
215,3001103,167.51385
216,3001104,301.9069
217,3001105,167.15598
218,3001106,236.27605
219,3001107,222.93701
220,3001108,169.38455
221,3001109,167.15598
222,3001110,304.60193
223,3001111,350.7037
224,3001112,166.53297
225,3001113,167.15598
226,3001114,289.60095
227,3001115,209.29132
228,3001116,3157.2031
229,3001117,173.61877
230,3001118,167.15598
231,3001119,161.62372
232,3001120,160.38828
233,3001121,168.86732
234,3001122,1620.82
235,3001123,159.76074
236,3001124,332.00836
237,3001125,161.62372
238,3001126,964.4824
239,3001127,469.41107
240,3001128,232.91978
241,3001129,263.0052
242,3001130,194.49358
243,3001131,3032.6963
244,3001132,168.70888
245,3001133,162.244
246,3001134,181.97145
247,3001135,90.38085
248,3001136,161.9816
249,3001137,271.21545
250,3001138,161.62372
251,3001139,140.28616
252,3001140,192.24557
253,3001141,138.69312
254,3001142,161.62372
255,3001143,299.06967
256,3001144,261.67264
257,3001145,161.00072
258,3001146,161.62372
259,3001147,285.08542
260,3001148,162.22363
261,3001149,3023.144
262,3001150,142.92734
263,3001151,161.62372
264,3001152,168.07076
265,3001153,166.83533
266,3001154,227.52975
267,3001155,2853.397
268,3001156,166.2078
269,3001157,505.40045
270,3001158,168.07076
271,3001159,1329.7249
272,3001160,1210.0605
273,3001161,546.3699
274,3001162,329.7776
275,3001163,263.021
276,3001164,4519.155
277,3001165,175.15593
278,3001166,168.69106
279,3001167,185.67972
280,3001168,189.38634
281,3001169,168.42865
282,3001170,508.05325
283,3001171,168.07076
284,3001172,381.3211
285,3001173,291.251
286,3001174,337.05927
287,3001175,168.07076
288,3001176,484.37775
289,3001177,485.03955
290,3001178,167.44775
291,3001179,168.07076
292,3001180,517.29126
293,3001181,237.01302
294,3001182,2703.2417
295,3001183,341.29346
296,3001184,168.07076
297,3001185,122.944336
298,3001186,121.70889
299,3001187,169.24951
300,3001188,2599.8972
301,3001189,121.08136
302,3001190,632.7428
303,3001191,122.944336
304,3001192,832.6892
305,3001193,871.2324
306,3001194,231.66516
307,3001195,280.51257
308,3001196,213.75594
309,3001197,2858.6226
310,3001198,130.0295
311,3001199,123.56463
312,3001200,155.97893
313,3001201,140.12128
314,3001202,123.302216
315,3001203,329.75928
316,3001204,122.944336
317,3001205,167.13107
318,3001206,241.97623
319,3001207,158.26622
320,3001208,122.944336
321,3001209,368.9829
322,3001210,300.16534
323,3001211,122.321335
324,3001212,122.944336
325,3001213,413.96753
326,3001214,188.59448
327,3001215,2425.5493
328,3001216,144.3368
329,3001217,122.944336
330,3001218,164.96446
331,3001219,163.72902
332,3001220,172.20807
333,3001221,2354.8457
334,3001222,163.10149
335,3001223,359.7508
336,3001224,164.96446
337,3001225,1031.954
338,3001226,504.2777
339,3001227,359.96313
340,3001228,239.05374
341,3001229,197.83432
342,3001230,3300.137
343,3001231,172.04962
344,3001232,165.58475
345,3001233,185.3122
346,3001234,118.123314
347,3001235,165.32234
348,3001236,297.10846
349,3001237,164.96446
350,3001238,233.32709
351,3001239,237.94177
352,3001240,166.43558
353,3001241,164.96446
354,3001242,311.9223
355,3001243,309.62515
356,3001244,164.34146
357,3001245,164.96446
358,3001246,287.40942
359,3001247,203.29498
360,3001248,3182.615
361,3001249,170.6698
362,3001250,164.96446
363,3001251,167.38646
364,3001252,166.15103
365,3001253,204.32924
366,3001254,2924.6826
367,3001255,165.5235
368,3001256,690.8441
369,3001257,167.38646
370,3001258,1152.7877
371,3001259,1217.2661
372,3001260,391.0378
373,3001261,324.95465
374,3001262,291.38733
375,3001263,4079.0127
376,3001264,174.47163
377,3001265,168.00676
378,3001266,200.42102
379,3001267,184.56345
380,3001268,167.74434
381,3001269,442.03665
382,3001270,167.38646
383,3001271,376.4982
384,3001272,286.41833
385,3001273,332.23636
386,3001274,167.38646
387,3001275,524.3431
388,3001276,450.69177
389,3001277,166.76346
390,3001278,167.38646
391,3001279,627.36707
392,3001280,268.5379
393,3001281,3787.7334
394,3001282,318.30692
395,3001283,167.38646
396,3001284,105.543465
397,3001285,126.20885
398,3001286,194.90765
399,3001287,3196.3801
400,3001288,121.367905
401,3001289,589.31946
402,3001290,105.543465
403,3001291,1217.6891
404,3001292,872.7969
405,3001293,566.22144
406,3001294,294.4613
407,3001295,254.77313
408,3001296,5441.5703
409,3001297,112.62863
410,3001298,123.46101
411,3001299,177.43187
412,3001300,267.88528
413,3001301,105.90135
414,3001302,464.9074
415,3001303,105.543465
416,3001304,337.67627
417,3001305,283.00314
418,3001306,328.81143
419,3001307,105.543465
420,3001308,449.19437
421,3001309,476.7917
422,3001310,122.50877
